variable_name,model,emb_type,context,layer,y_preds,accs,f1s,f1_max_index,f1_max,f1_avg
       'philosophical', 'mythological', 'geographical',
       'medical_anatomical', 'metaphorical_general', 'mythological',
       'metaphorical_general', 'metaphorical_general', 'poetic',
       'metaphorical_general', 'scientific_alchemical', 'mythological',
       'metaphorical_general', 'poetic', 'geographical', 'geographical',
       'medical_anatomical', 'geographical', 'medical_anatomical',
       'geographical', 'medical_anatomical', 'metaphorical_general',
       'philosophical', 'scientific_alchemical', 'mythological',
       'geographical', 'metaphorical_general', 'metaphorical_general',
       'mythological', 'mythological', 'mythological', 'mythological',
       'mythological', 'mythological', 'scientific_alchemical',
       'mythological', 'mythological', 'geographical',
       'scientific_alchemical', 'medical_anatomical', 'philosophical',
       'poetic', 'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'geographical', 'geographical',
       'medical_anatomical', 'metaphorical_general', 'medical_anatomical',
       'mythological', 'philosophical', 'metaphorical_general',
       'medical_anatomical', 'medical_anatomical', 'philosophical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'scientific_alchemical', 'mythological', 'geographical',
       'metaphorical_general', 'scientific_alchemical',
       'medical_anatomical', 'poetic', 'metaphorical_general', 'poetic',
       'scientific_alchemical', 'geographical', 'poetic',
       'metaphorical_general', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'mythological', 'scientific_alchemical',
       'medical_anatomical', 'mythological', 'philosophical',
       'philosophical', 'medical_anatomical', 'metaphorical_general',
       'geographical', 'metaphorical_general', 'poetic',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'mythological', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'metaphorical_general',
       'medical_anatomical', 'mythological', 'medical_anatomical',
       'philosophical', 'geographical', 'philosophical', 'geographical',
       'mythological', 'geographical', 'philosophical',
       'metaphorical_general', 'medical_anatomical', 'medical_anatomical',
       'mythological', 'philosophical', 'medical_anatomical',
       'mythological', 'mythological', 'metaphorical_general',
       'philosophical', 'metaphorical_general', 'poetic',
       'metaphorical_general', 'poetic', 'geographical',
       'metaphorical_general', 'medical_anatomical',
       'metaphorical_general', 'mythological', 'metaphorical_general',
       'poetic', 'mythological', 'metaphorical_general', 'philosophical',
       'geographical', 'philosophical', 'scientific_alchemical',
       'scientific_alchemical', 'scientific_alchemical', 'philosophical',
       'metaphorical_general', 'philosophical', 'philosophical',
       'mythological', 'mythological', 'poetic', 'metaphorical_general',
       'philosophical', 'metaphorical_general', 'metaphorical_general',
       'philosophical', 'geographical', 'mythological', 'mythological',
       'geographical', 'mythological', 'mythological', 'geographical',
       'geographical', 'medical_anatomical', 'scientific_alchemical',
       'medical_anatomical', 'metaphorical_general', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'geographical',
       'geographical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'poetic', 'metaphorical_general', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'geographical',
       'medical_anatomical', 'metaphorical_general', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'philosophical',
       'mythological', 'mythological', 'mythological',
       'medical_anatomical', 'geographical', 'poetic',
       'medical_anatomical', 'poetic', 'mythological',
       'medical_anatomical', 'philosophical', 'medical_anatomical',
       'scientific_alchemical', 'medical_anatomical', 'geographical',
       'medical_anatomical', 'medical_anatomical', 'poetic',
       'philosophical', 'poetic', 'geographical', 'geographical',
       'geographical', 'astronomical', 'scientific_alchemical',
       'mythological', 'metaphorical_general', 'metaphorical_general',
       'mythological', 'metaphorical_general', 'geographical',
       'metaphorical_general', 'medical_anatomical', 'medical_anatomical',
       'poetic', 'philosophical', 'geographical', 'scientific_alchemical',
       'poetic', 'medical_anatomical', 'poetic', 'medical_anatomical',
       'mythological', 'mythological', 'metaphorical_general',
       'mythological', 'mythological', 'medical_anatomical',
       'geographical', 'geographical', 'metaphorical_general',
       'philosophical', 'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general', 'mythological',
       'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general',
       'medical_anatomical', 'medical_anatomical', 'metaphorical_general',
       'medical_anatomical', 'metaphorical_general', 'medical_anatomical',
       'medical_anatomical', 'philosophical', 'medical_anatomical',
       'metaphorical_general', 'scientific_alchemical',
       'medical_anatomical', 'medical_anatomical', 'mythological',
       'mythological', 'mythological', 'metaphorical_general',
       'philosophical', 'philosophical', 'medical_anatomical',
       'mythological', 'poetic', 'scientific_alchemical',
       'metaphorical_general', 'philosophical', 'scientific_alchemical',
       'philosophical', 'metaphorical_general', 'scientific_alchemical',
       'metaphorical_general', 'philosophical', 'geographical',
       'scientific_alchemical', 'metaphorical_general',
       'metaphorical_general', 'philosophical', 'medical_anatomical',
       'metaphorical_general', 'mythological', 'philosophical',
       'metaphorical_general', 'metaphorical_general', 'astronomical',
       'mythological', 'astronomical', 'metaphorical_general',
       'philosophical', 'medical_anatomical', 'geographical',
       'mythological', 'medical_anatomical', 'medical_anatomical',
       'mythological', 'geographical', 'mythological', 'mythological',
       'mythological', 'geographical', 'geographical', 'mythological',
       'metaphorical_general', 'mythological', 'philosophical',
       'philosophical', 'metaphorical_general', 'medical_anatomical',
       'mythological', 'poetic', 'mythological', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'philosophical',
       'philosophical', 'medical_anatomical', 'mythological',
       'medical_anatomical', 'medical_anatomical', 'geographical',
       'mythological', 'metaphorical_general', 'medical_anatomical',
       'mythological', 'metaphorical_general', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'mythological',
       'mythological', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'geographical', 'medical_anatomical',
       'metaphorical_general', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'metaphorical_general', 'medical_anatomical',
       'philosophical', 'metaphorical_general', 'metaphorical_general',
       'medical_anatomical', 'medical_anatomical', 'mythological',
       'metaphorical_general', 'scientific_alchemical', 'mythological',
       'geographical', 'medical_anatomical', 'geographical',
       'mythological', 'mythological', 'mythological',
       'metaphorical_general', 'scientific_alchemical', 'mythological',
       'medical_anatomical', 'geographical', 'geographical',
       'mythological', 'poetic', 'medical_anatomical',
       'scientific_alchemical', 'mythological', 'mythological',
       'metaphorical_general', 'mythological', 'mythological',
       'metaphorical_general', 'medical_anatomical', 'medical_anatomical',
       'metaphorical_general', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'philosophical',
       'metaphorical_general', 'metaphorical_general', 'mythological',
       'geographical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'metaphorical_general',
       'mythological', 'mythological', 'metaphorical_general',
       'mythological', 'mythological', 'metaphorical_general',
       'medical_anatomical', 'medical_anatomical',
       'scientific_alchemical', 'mythological', 'philosophical',
       'philosophical', 'mythological', 'metaphorical_general',
       'medical_anatomical', 'metaphorical_general', 'philosophical',
       'medical_anatomical', 'metaphorical_general', 'medical_anatomical',
       'medical_anatomical', 'geographical', 'poetic', 'philosophical',
       'philosophical', 'geographical', 'medical_anatomical',
       'metaphorical_general', 'mythological', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'geographical',
       'scientific_alchemical', 'medical_anatomical',
       'metaphorical_general', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'mythological', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'metaphorical_general', 'poetic', 'geographical', 'mythological',
       'mythological', 'mythological', 'mythological', 'mythological',
       'mythological', 'philosophical', 'medical_anatomical',
       'metaphorical_general', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'mythological', 'philosophical',
       'geographical', 'geographical', 'medical_anatomical', 'poetic',
       'metaphorical_general', 'geographical', 'metaphorical_general',
       'scientific_alchemical', 'scientific_alchemical',
       'medical_anatomical', 'metaphorical_general', 'medical_anatomical',
       'philosophical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'metaphorical_general', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'mythological',
       'mythological', 'mythological', 'mythological', 'geographical',
       'philosophical', 'medical_anatomical', 'scientific_alchemical',
       'metaphorical_general', 'scientific_alchemical', 'philosophical',
       'metaphorical_general', 'metaphorical_general',
       'medical_anatomical', 'philosophical', 'geographical',
       'mythological', 'geographical', 'geographical',
       'metaphorical_general', 'metaphorical_general', 'geographical',
       'geographical', 'metaphorical_general', 'scientific_alchemical',
       'geographical', 'medical_anatomical', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general', 'philosophical',
       'medical_anatomical', 'mythological', 'geographical',
       'philosophical', 'medical_anatomical', 'medical_anatomical',
       'geographical', 'philosophical', 'metaphorical_general',
       'geographical', 'mythological', 'mythological',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'poetic', 'metaphorical_general',
       'philosophical', 'metaphorical_general', 'medical_anatomical',
       'medical_anatomical', 'philosophical', 'medical_anatomical',
       'philosophical', 'astronomical', 'mythological',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'mythological', 'medical_anatomical',
       'metaphorical_general', 'medical_anatomical', 'medical_anatomical',
       'mythological', 'mythological', 'scientific_alchemical',
       'mythological', 'scientific_alchemical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'philosophical', 'geographical', 'mythological', 'geographical',
       'geographical', 'mythological', 'medical_anatomical',
       'metaphorical_general', 'medical_anatomical'], dtype=object), array(['metaphorical_general', 'metaphorical_general', 'philosophical',
       'mythological', 'metaphorical_general', 'metaphorical_general',
       'mythological', 'poetic', 'metaphorical_general',
       'metaphorical_general', 'mythological', 'medical_anatomical',
       'metaphorical_general', 'mythological', 'philosophical',
       'mythological', 'mythological', 'metaphorical_general',
       'medical_anatomical', 'mythological', 'medical_anatomical',
       'metaphorical_general', 'geographical', 'mythological',
       'philosophical', 'philosophical', 'metaphorical_general',
       'metaphorical_general', 'mythological', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general',
       'medical_anatomical', 'philosophical', 'metaphorical_general',
       'geographical', 'mythological', 'metaphorical_general',
       'metaphorical_general', 'mythological', 'metaphorical_general',
       'scientific_alchemical', 'metaphorical_general', 'mythological',
       'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'philosophical', 'metaphorical_general',
       'philosophical', 'philosophical', 'metaphorical_general',
       'mythological', 'scientific_alchemical', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general',
       'scientific_alchemical', 'mythological', 'mythological',
       'mythological', 'mythological', 'mythological', 'mythological',
       'mythological', 'metaphorical_general', 'mythological',
       'mythological', 'mythological', 'metaphorical_general',
       'metaphorical_general', 'mythological', 'mythological',
       'scientific_alchemical', 'geographical', 'geographical',
       'mythological', 'medical_anatomical', 'scientific_alchemical',
       'geographical', 'mythological', 'mythological', 'mythological',
       'mythological', 'mythological', 'mythological', 'geographical',
       'medical_anatomical', 'philosophical', 'mythological',
       'geographical', 'geographical', 'medical_anatomical',
       'geographical', 'medical_anatomical', 'philosophical',
       'metaphorical_general', 'medical_anatomical', 'geographical',
       'mythological', 'mythological', 'mythological',
       'metaphorical_general', 'mythological', 'mythological',
       'philosophical', 'mythological', 'mythological', 'mythological',
       'scientific_alchemical', 'medical_anatomical', 'mythological',
       'mythological', 'mythological', 'metaphorical_general',
       'philosophical', 'poetic', 'mythological', 'metaphorical_general',
       'philosophical', 'scientific_alchemical', 'metaphorical_general',
       'metaphorical_general', 'mythological', 'poetic',
       'metaphorical_general', 'scientific_alchemical', 'philosophical',
       'metaphorical_general', 'metaphorical_general', 'poetic',
       'metaphorical_general', 'mythological', 'geographical',
       'metaphorical_general', 'metaphorical_general', 'mythological',
       'geographical', 'geographical', 'philosophical',
       'medical_anatomical', 'mythological', 'mythological',
       'philosophical', 'medical_anatomical', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'medical_anatomical', 'mythological',
       'medical_anatomical', 'mythological', 'metaphorical_general',
       'mythological', 'mythological', 'medical_anatomical',
       'mythological', 'geographical', 'mythological', 'poetic',
       'mythological', 'metaphorical_general', 'mythological',
       'geographical', 'mythological', 'philosophical', 'mythological',
       'poetic', 'mythological', 'metaphorical_general', 'geographical',
       'mythological', 'mythological', 'mythological', 'philosophical',
       'poetic', 'metaphorical_general', 'mythological', 'philosophical',
       'metaphorical_general', 'metaphorical_general',
       'spiritual_religious', 'mythological', 'mythological',
       'metaphorical_general', 'medical_anatomical', 'poetic',
       'metaphorical_general', 'metaphorical_general', 'mythological',
       'metaphorical_general', 'geographical', 'metaphorical_general',
       'philosophical', 'mythological', 'mythological',
       'metaphorical_general', 'scientific_alchemical', 'mythological',
       'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general',
       'scientific_alchemical', 'philosophical', 'philosophical',
       'philosophical', 'medical_anatomical', 'philosophical',
       'mythological', 'metaphorical_general', 'philosophical',
       'metaphorical_general', 'medical_anatomical', 'mythological',
       'medical_anatomical', 'metaphorical_general', 'geographical',
       'scientific_alchemical', 'philosophical', 'geographical',
       'medical_anatomical', 'metaphorical_general', 'mythological',
       'mythological', 'mythological', 'mythological',
       'metaphorical_general', 'medical_anatomical', 'poetic',
       'metaphorical_general', 'philosophical', 'mythological',
       'mythological', 'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'medical_anatomical', 'mythological',
       'metaphorical_general', 'metaphorical_general',
       'spiritual_religious', 'mythological', 'metaphorical_general',
       'geographical', 'poetic', 'mythological', 'mythological',
       'mythological', 'metaphorical_general', 'scientific_alchemical',
       'scientific_alchemical', 'metaphorical_general', 'poetic',
       'philosophical', 'philosophical', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general',
       'scientific_alchemical', 'mythological', 'metaphorical_general',
       'mythological', 'metaphorical_general', 'metaphorical_general',
       'medical_anatomical', 'philosophical', 'mythological',
       'mythological', 'mythological', 'metaphorical_general',
       'mythological', 'philosophical', 'metaphorical_general',
       'medical_anatomical', 'metaphorical_general', 'medical_anatomical',
       'geographical', 'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'scientific_alchemical',
       'metaphorical_general', 'metaphorical_general',
       'scientific_alchemical', 'metaphorical_general',
       'metaphorical_general', 'geographical', 'mythological',
       'philosophical', 'philosophical', 'geographical',
       'scientific_alchemical', 'metaphorical_general', 'mythological',
       'scientific_alchemical', 'philosophical', 'metaphorical_general',
       'scientific_alchemical', 'scientific_alchemical',
       'scientific_alchemical', 'metaphorical_general',
       'metaphorical_general', 'geographical', 'astronomical',
       'scientific_alchemical', 'medical_anatomical',
       'metaphorical_general', 'metaphorical_general', 'philosophical',
       'geographical', 'medical_anatomical', 'medical_anatomical',
       'scientific_alchemical', 'philosophical', 'geographical',
       'metaphorical_general', 'medical_anatomical', 'poetic',
       'medical_anatomical', 'mythological', 'mythological',
       'mythological', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'mythological', 'philosophical', 'geographical', 'mythological',
       'metaphorical_general', 'mythological', 'metaphorical_general',
       'metaphorical_general', 'poetic', 'metaphorical_general',
       'mythological', 'metaphorical_general', 'philosophical',
       'mythological', 'scientific_alchemical', 'geographical',
       'medical_anatomical', 'geographical', 'medical_anatomical',
       'astronomical', 'metaphorical_general', 'mythological',
       'philosophical', 'scientific_alchemical', 'mythological',
       'geographical', 'mythological', 'metaphorical_general',
       'mythological', 'mythological', 'mythological', 'mythological',
       'mythological', 'mythological', 'metaphorical_general',
       'mythological', 'mythological', 'medical_anatomical',
       'scientific_alchemical', 'poetic', 'metaphorical_general',
       'poetic', 'metaphorical_general', 'medical_anatomical',
       'metaphorical_general', 'geographical', 'geographical',
       'mythological', 'metaphorical_general', 'medical_anatomical',
       'mythological', 'philosophical', 'metaphorical_general',
       'medical_anatomical', 'medical_anatomical', 'philosophical',
       'medical_anatomical', 'medical_anatomical',
       'scientific_alchemical', 'scientific_alchemical', 'geographical',
       'medical_anatomical', 'scientific_alchemical',
       'scientific_alchemical', 'medical_anatomical', 'poetic',
       'mythological', 'mythological', 'scientific_alchemical',
       'geographical', 'poetic', 'philosophical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical',
       'scientific_alchemical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'mythological', 'scientific_alchemical',
       'medical_anatomical', 'mythological', 'philosophical',
       'philosophical', 'medical_anatomical', 'metaphorical_general',
       'mythological', 'metaphorical_general', 'poetic',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'mythological', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'metaphorical_general',
       'medical_anatomical', 'mythological', 'medical_anatomical',
       'metaphorical_general', 'geographical', 'metaphorical_general',
       'geographical', 'poetic', 'medical_anatomical', 'philosophical',
       'poetic', 'medical_anatomical', 'medical_anatomical',
       'geographical', 'philosophical', 'medical_anatomical',
       'mythological', 'mythological', 'mythological', 'philosophical',
       'metaphorical_general', 'poetic', 'metaphorical_general',
       'mythological', 'astronomical', 'metaphorical_general',
       'medical_anatomical', 'philosophical', 'metaphorical_general',
       'metaphorical_general', 'poetic', 'mythological',
       'metaphorical_general', 'philosophical', 'medical_anatomical',
       'medical_anatomical', 'scientific_alchemical',
       'medical_anatomical', 'scientific_alchemical', 'philosophical',
       'metaphorical_general', 'philosophical', 'philosophical',
       'mythological', 'mythological', 'mythological',
       'metaphorical_general', 'scientific_alchemical', 'philosophical',
       'metaphorical_general', 'metaphorical_general', 'geographical',
       'geographical', 'mythological', 'poetic', 'mythological', 'poetic',
       'medical_anatomical', 'mythological', 'medical_anatomical',
       'scientific_alchemical', 'medical_anatomical',
       'metaphorical_general', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'geographical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'geographical', 'medical_anatomical', 'poetic',
       'metaphorical_general', 'medical_anatomical', 'mythological',
       'medical_anatomical', 'geographical', 'medical_anatomical',
       'metaphorical_general', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'philosophical', 'mythological',
       'medical_anatomical', 'mythological', 'metaphorical_general',
       'geographical', 'poetic', 'medical_anatomical', 'poetic',
       'medical_anatomical', 'medical_anatomical', 'philosophical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'geographical', 'medical_anatomical', 'medical_anatomical',
       'mythological', 'philosophical', 'philosophical', 'mythological',
       'medical_anatomical', 'geographical', 'philosophical',
       'scientific_alchemical', 'philosophical', 'metaphorical_general',
       'metaphorical_general', 'mythological', 'metaphorical_general',
       'scientific_alchemical', 'astronomical', 'medical_anatomical',
       'geographical', 'poetic', 'metaphorical_general', 'geographical',
       'metaphorical_general', 'medical_anatomical', 'medical_anatomical',
       'poetic', 'medical_anatomical', 'mythological', 'mythological',
       'metaphorical_general', 'mythological', 'mythological',
       'medical_anatomical', 'geographical', 'geographical',
       'metaphorical_general', 'philosophical', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general',
       'scientific_alchemical', 'medical_anatomical',
       'metaphorical_general', 'metaphorical_general',
       'medical_anatomical', 'metaphorical_general', 'medical_anatomical',
       'medical_anatomical', 'philosophical', 'medical_anatomical',
       'metaphorical_general', 'metaphorical_general',
       'medical_anatomical', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general',
       'scientific_alchemical', 'metaphorical_general',
       'medical_anatomical', 'geographical', 'mythological',
       'geographical', 'philosophical', 'mythological',
       'metaphorical_general', 'medical_anatomical', 'mythological',
       'poetic', 'scientific_alchemical', 'metaphorical_general',
       'medical_anatomical', 'metaphorical_general',
       'scientific_alchemical', 'metaphorical_general',
       'scientific_alchemical', 'philosophical', 'philosophical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'metaphorical_general', 'philosophical', 'mythological',
       'metaphorical_general', 'metaphorical_general',
       'scientific_alchemical', 'metaphorical_general',
       'metaphorical_general', 'astronomical', 'mythological',
       'astronomical', 'metaphorical_general', 'philosophical',
       'medical_anatomical', 'geographical', 'geographical',
       'scientific_alchemical', 'medical_anatomical', 'geographical',
       'poetic', 'mythological', 'mythological', 'mythological',
       'geographical', 'mythological', 'poetic', 'metaphorical_general',
       'mythological', 'philosophical', 'philosophical',
       'metaphorical_general', 'geographical', 'mythological', 'poetic',
       'mythological', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'mythological', 'medical_anatomical',
       'geographical', 'geographical', 'geographical',
       'metaphorical_general', 'medical_anatomical', 'medical_anatomical',
       'metaphorical_general', 'metaphorical_general',
       'medical_anatomical', 'medical_anatomical', 'mythological',
       'mythological', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'mythological', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'metaphorical_general', 'medical_anatomical',
       'philosophical', 'medical_anatomical', 'metaphorical_general',
       'medical_anatomical', 'medical_anatomical', 'geographical',
       'metaphorical_general', 'medical_anatomical', 'mythological',
       'mythological', 'medical_anatomical', 'geographical',
       'mythological', 'mythological', 'mythological', 'mythological',
       'mythological', 'mythological', 'medical_anatomical',
       'geographical', 'geographical', 'metaphorical_general',
       'geographical', 'mythological', 'scientific_alchemical',
       'mythological', 'mythological', 'metaphorical_general',
       'mythological', 'geographical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'metaphorical_general',
       'medical_anatomical', 'medical_anatomical', 'mythological',
       'medical_anatomical', 'metaphorical_general', 'mythological',
       'metaphorical_general', 'metaphorical_general', 'geographical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'poetic', 'mythological', 'mythological',
       'poetic', 'mythological', 'mythological', 'metaphorical_general',
       'medical_anatomical', 'scientific_alchemical',
       'scientific_alchemical', 'mythological', 'metaphorical_general',
       'philosophical', 'mythological', 'metaphorical_general',
       'medical_anatomical', 'metaphorical_general', 'philosophical',
       'medical_anatomical', 'metaphorical_general', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'poetic',
       'metaphorical_general', 'philosophical', 'geographical',
       'mythological', 'philosophical', 'mythological',
       'medical_anatomical', 'spiritual_religious',
       'metaphorical_general', 'poetic', 'scientific_alchemical',
       'geographical', 'metaphorical_general', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'mythological',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'mythological', 'poetic',
       'metaphorical_general', 'mythological', 'mythological',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'mythological', 'metaphorical_general', 'medical_anatomical',
       'philosophical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'mythological', 'philosophical',
       'medical_anatomical', 'geographical', 'medical_anatomical',
       'mythological', 'metaphorical_general', 'geographical',
       'metaphorical_general', 'poetic', 'scientific_alchemical',
       'medical_anatomical', 'metaphorical_general', 'mythological',
       'philosophical', 'medical_anatomical', 'medical_anatomical',
       'scientific_alchemical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'philosophical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'scientific_alchemical', 'medical_anatomical',
       'medical_anatomical', 'mythological', 'mythological',
       'mythological', 'mythological', 'poetic', 'medical_anatomical',
       'medical_anatomical', 'scientific_alchemical',
       'metaphorical_general', 'metaphorical_general', 'philosophical',
       'metaphorical_general', 'metaphorical_general',
       'medical_anatomical', 'scientific_alchemical',
       'scientific_alchemical', 'mythological', 'mythological',
       'geographical', 'metaphorical_general', 'metaphorical_general',
       'geographical', 'geographical', 'metaphorical_general',
       'metaphorical_general', 'geographical', 'medical_anatomical',
       'metaphorical_general', 'philosophical', 'metaphorical_general',
       'philosophical', 'medical_anatomical', 'astronomical',
       'mythological', 'philosophical', 'medical_anatomical',
       'medical_anatomical', 'mythological', 'spiritual_religious',
       'metaphorical_general', 'geographical', 'mythological',
       'mythological', 'philosophical', 'poetic', 'medical_anatomical',
       'medical_anatomical', 'poetic', 'metaphorical_general',
       'philosophical', 'metaphorical_general', 'medical_anatomical',
       'medical_anatomical', 'metaphorical_general', 'medical_anatomical',
       'metaphorical_general', 'mythological', 'metaphorical_general',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'geographical', 'philosophical',
       'metaphorical_general', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'mythological', 'scientific_alchemical',
       'mythological', 'scientific_alchemical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'metaphorical_general',
       'philosophical', 'geographical', 'mythological', 'geographical',
       'geographical', 'geographical', 'medical_anatomical',
       'metaphorical_general', 'medical_anatomical'], dtype=object)]","[0.46943231441048033, 0.47707423580786024, 0.4661572052401747, 0.4705240174672489, 0.462882096069869, 0.45633187772925765, 0.4421397379912664, 0.47707423580786024, 0.4519650655021834, 0.4410480349344978]","[0.2937721769250853, 0.2810758790751988, 0.28122800914028423, 0.3019199594086698, 0.27427414687873763, 0.28706287391629565, 0.25887107530936315, 0.3026850958722137, 0.273428493686215, 0.27445559689386756]",7,0.3026850958722137,0.28287733071059307
